"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.442195637E0,1.437564492E-1,-4.639458656E-2,5.744152069E-1
1.452357991E0,4.731801152E-2,-2.559381723E-2,-1.278886795E-1
1.462520344E0,-3.346264362E-2,-7.308661938E-3,-3.007717133E-1
1.472682698E0,-1.010158360E-1,1.990634203E-2,-1.750001907E-1
1.482845051E0,-6.836396456E-2,6.741762161E-3,2.165508270E-2
1.493007405E0,1.683026552E-3,-1.410245895E-4,8.485031128E-2
1.503169758E0,2.032059431E-2,-2.868115902E-3,9.027099609E-2
1.513332112E0,-3.186437488E-2,5.071973801E-2,3.408432007E-2
1.523494465E0,-9.334713221E-2,9.612053633E-2,-3.751373291E-2
1.533656819E0,-1.164458990E-1,1.319985986E-1,-2.258491516E-2
1.543819172E0,-9.949740767E-2,1.528523564E-1,3.465080261E-2
1.553981526E0,-6.213539839E-2,1.265019774E-1,8.623313904E-2
1.564143879E0,-1.928189397E-2,7.656729221E-2,1.131935120E-1
1.574306233E0,3.158381581E-2,2.908557653E-2,1.159830093E-1
1.584468586E0,4.327437282E-2,-9.502828121E-3,9.263896942E-2
1.594661457E0,6.157097220E-2,-2.070456743E-2,4.598426819E-2
1.604823811E0,5.814817548E-2,-2.851337194E-2,1.891994476E-2
1.614986164E0,3.369513154E-2,-4.358649254E-3,2.058887482E-2
1.625148518E0,2.642813325E-2,-2.019405365E-4,3.167724609E-2
1.635310872E0,2.194535732E-2,1.550471783E-2,4.487895966E-2
1.645473225E0,1.775342226E-2,4.507493973E-2,4.842853546E-2
1.655635579E0,2.013802528E-3,5.306744576E-2,4.014110565E-2
1.665797932E0,-2.982884645E-2,5.648016930E-2,1.308917999E-2
1.675960286E0,-4.896470904E-2,6.027197838E-2,5.553245544E-3
1.686122639E0,-5.323168635E-2,4.088491201E-2,4.302310944E-2
1.696284993E0,-4.851350188E-2,2.421450615E-2,-8.355903625E-2
1.706447346E0,-2.398449183E-2,2.259612083E-2,1.490592957E-2
1.716609700E0,-4.476678371E-2,3.501701355E-2,1.181058884E-1
1.726772053E0,-6.695148349E-2,4.656404257E-2,-4.039096832E-2
1.736934407E0,-3.380566835E-2,4.679346085E-2,-1.414699554E-1
1.747127278E0,3.248101473E-2,4.842305183E-2,-1.037378311E-1
1.757289631E0,4.536324739E-2,3.383696079E-2,-1.937103271E-2
1.767451985E0,1.533263922E-2,4.248851538E-2,5.161476135E-2
1.777614338E0,-2.357751131E-2,4.309570789E-2,1.024818420E-2
1.787776692E0,-2.626672387E-2,4.129242897E-2,-4.242897034E-3
1.797939045E0,1.941055059E-3,5.885750055E-2,5.717182159E-2
1.808101399E0,3.430038691E-3,7.590585947E-2,1.292943954E-1
1.818263752E0,-1.904875040E-2,8.956271410E-2,1.173439026E-1
1.828426106E0,-3.185525537E-2,8.139759302E-2,5.598163605E-2
1.838588459E0,-1.829653978E-2,6.887841225E-2,2.652454376E-2
1.848750813E0,6.933033466E-3,4.538762569E-2,7.549858093E-2
1.858913166E0,-1.401215792E-3,2.676212788E-2,7.864189148E-2
1.869075520E0,-9.400278330E-3,3.375864029E-2,2.266597748E-2
1.879237873E0,-1.701498032E-2,3.064137697E-2,-4.896259308E-2
1.889400227E0,-5.336552858E-3,3.268277645E-2,-5.542087555E-2
1.899562581E0,-3.291189671E-3,2.604383230E-2,-3.103160858E-2
1.909755452E0,-2.494111657E-2,3.891539574E-2,9.514808655E-3
1.919917805E0,-4.398831725E-2,4.223394394E-2,1.618671417E-2
1.930080159E0,-6.496596336E-2,4.546779394E-2,-5.527496338E-3
1.940242512E0,-4.981958866E-2,5.857542157E-2,-1.502323151E-2
1.950404866E0,-3.707218170E-2,5.768564343E-2,-3.025054932E-3
1.960567219E0,-2.662518620E-2,5.689331889E-2,4.187583923E-2
1.970729573E0,-1.170894504E-2,4.877296090E-2,6.704521179E-2
1.980891926E0,2.901256084E-3,4.475250840E-2,6.336975098E-2
1.991054280E0,3.026425838E-3,4.524508119E-2,2.902698517E-2
2.001216633E0,-1.117777824E-2,6.495174766E-2,-2.128505707E-2
2.011378987E0,-4.611298442E-2,5.658224225E-2,-6.363964081E-2
2.021541340E0,-5.885350704E-2,5.146670341E-2,-8.631229401E-2
2.031703694E0,-4.746565223E-2,3.065389395E-2,-4.468154907E-2
2.041866047E0,6.055891514E-3,3.136041760E-2,7.427978516E-2
2.052028401E0,2.763047814E-2,2.648493648E-2,1.271858215E-1
2.062190754E0,6.217807531E-3,3.468987346E-2,3.737449646E-2
2.072383625E0,-1.742470264E-2,5.228099227E-2,-2.001190186E-2
2.082545979E0,-2.461433411E-2,6.615445018E-2,-3.220558167E-3
2.092708332E0,-6.801149249E-2,7.850795984E-2,1.562213898E-2
2.102870686E0,-1.434765458E-1,9.628275037E-2,-2.618503571E-1
2.113033039E0,-1.324338913E-1,8.136701584E-2,-4.906768799E-1
2.123195393E0,1.008624732E-1,3.995043039E-2,9.583663940E-2
2.133357747E0,2.271020412E-1,-7.525891066E-3,9.186315536E-1
2.143520100E0,9.513866901E-2,-3.508597612E-3,4.271898270E-1
2.153682454E0,-5.903840065E-3,3.670305014E-2,-1.479616165E-1
2.163844807E0,-1.105169356E-1,7.782724500E-2,-6.818561554E-1
2.174007161E0,-8.778834343E-2,7.180637121E-2,-4.826631546E-1
2.184169514E0,3.837680817E-2,1.236557961E-2,9.500026703E-2
2.194331868E0,6.626212597E-2,-4.828208685E-2,3.403625488E-1
2.204494221E0,2.891305089E-2,-6.029614806E-2,2.074279785E-1
2.214687092E0,-2.580738068E-2,6.367653608E-3,5.355262756E-2
2.224849446E0,-8.090499043E-2,8.658659458E-2,7.843971252E-3
2.235011799E0,-1.049161553E-1,1.647630632E-1,3.165340424E-2
2.245174153E0,-1.025148332E-1,1.942200065E-1,7.689857483E-2
2.255336506E0,-7.630780339E-2,1.930375695E-1,1.004762650E-1
2.265498860E0,-4.798352718E-2,1.510021091E-1,8.575439453E-2
2.275661213E0,-2.942538261E-2,8.252394199E-2,4.246711731E-2
2.285823567E0,-6.213992834E-3,1.650765538E-2,1.129341125E-2
2.295985920E0,-2.135306597E-3,-9.221673012E-3,-5.471229553E-3
2.306148274E0,-2.017915249E-4,-2.581912279E-2,-3.884029388E-2
2.316310627E0,6.844371557E-3,-1.143771410E-2,-3.866291046E-2
2.326472981E0,1.875871420E-2,1.270925999E-2,6.868362427E-3
2.336635334E0,2.091416717E-2,4.147624969E-2,6.171607971E-2
2.346797688E0,1.102104783E-2,6.505361199E-2,6.141662598E-2
2.356960041E0,-1.381754875E-3,7.639512420E-2,4.202270508E-2
2.367152913E0,-3.747794032E-2,8.309820294E-2,4.658031464E-2
2.377315266E0,-5.390912294E-2,5.896475911E-2,5.594825745E-2
2.387477620E0,-5.117070675E-2,3.955343366E-2,3.181362152E-2
2.397639973E0,-3.666597605E-2,3.870987892E-2,-6.070232391E-2
2.407802327E0,-3.008192778E-2,4.503628612E-2,1.365070343E-1
2.417964680E0,-5.123224854E-2,5.739939213E-2,8.655929565E-2
2.428127034E0,-5.547434092E-2,6.471660733E-2,-1.419839859E-1
2.438289387E0,1.394337416E-2,6.192994118E-2,-2.053804398E-1
2.448451741E0,5.396246910E-2,5.145302415E-2,-5.575180054E-3
2.458614094E0,8.016228676E-4,4.555612803E-2,5.343437195E-2
2.468776448E0,-4.507988691E-2,4.559242725E-2,-2.077293396E-2
2.478938801E0,-3.370538354E-2,4.778477550E-2,-1.083850861E-2
2.489131672E0,-1.767355204E-2,8.102479577E-2,5.079364777E-2
2.499294026E0,-8.802652359E-3,1.088072658E-1,8.302021027E-2
2.509456379E0,4.518926144E-3,1.309697926E-1,1.028289795E-1
2.519618733E0,-3.707140684E-3,1.145325899E-1,7.982063293E-2
2.529781086E0,1.205256581E-2,1.060156226E-1,5.725955963E-2
2.539943440E0,2.275255322E-2,6.252712011E-2,7.764625549E-2
2.550105793E0,2.602788806E-2,3.600844741E-2,1.023035049E-1
2.560268147E0,1.743319631E-2,3.480443358E-2,3.898715973E-2
2.570430500E0,-2.494424582E-3,2.813085914E-2,-4.687404633E-2
2.580592854E0,-2.172222733E-2,3.606534004E-2,-8.389663696E-2
2.590755207E0,-1.684182882E-2,4.234650731E-2,-3.990936279E-2
2.600917561E0,-3.107419610E-2,3.935065866E-2,1.746082306E-2
2.611110432E0,-4.740035534E-2,3.595232964E-2,2.660751343E-2
2.621272786E0,-6.112599373E-2,3.713631630E-2,4.826545715E-3
2.631435139E0,-6.280815601E-2,4.844123125E-2,-2.122116089E-2
2.641597493E0,-5.958113074E-2,4.365724325E-2,-1.135253906E-2
2.651759846E0,-5.160984397E-2,4.393541813E-2,1.251506805E-2
2.661922200E0,-4.853504896E-2,4.179489613E-2,3.117275238E-2
2.672084553E0,-3.359016776E-2,3.689795732E-2,4.253864288E-2
2.682246907E0,-1.408848166E-2,5.790278316E-2,7.027912140E-2
2.692409260E0,4.497468472E-4,6.408998370E-2,5.014991760E-2
2.702571614E0,-1.830172539E-2,7.708755136E-2,-7.411003113E-3
2.712733967E0,-4.140773416E-2,6.637799740E-2,-4.747581482E-2
2.722896321E0,-4.490536451E-2,5.633342266E-2,-8.442211151E-2
2.733058674E0,-4.316744208E-2,3.990238905E-2,-7.342052460E-2
2.743251545E0,1.181602478E-3,3.112435341E-2,8.381843567E-3
2.753413899E0,4.674378037E-2,1.954582334E-2,1.240987778E-1
2.763576252E0,3.895613551E-2,2.576160431E-2,9.582138062E-2
2.773738606E0,-4.295259714E-3,5.987560749E-2,-1.693916321E-2
2.783900959E0,-2.810361981E-2,7.533898950E-2,-7.022857666E-3
2.794063313E0,-4.495719075E-2,7.265940309E-2,6.162261963E-2
2.804225666E0,-1.023515761E-1,7.708948851E-2,1.310920715E-2
2.814388020E0,-1.527220011E-1,9.161561728E-2,-4.033403397E-1
2.824550373E0,-2.460870147E-2,6.446501613E-2,-3.813467026E-1
2.834712727E0,1.952048242E-1,1.915940642E-2,3.970766068E-1
2.844875081E0,1.905809045E-1,-2.240827680E-2,7.481422424E-1
2.855037434E0,4.228365421E-2,2.740949392E-3,9.955883026E-2
2.865199788E0,-6.015339494E-2,4.317286611E-2,-4.014339447E-1
2.875362141E0,-1.730655730E-1,7.073307037E-2,-6.123876572E-1
2.885524495E0,-9.151288867E-2,7.361596823E-2,-1.847639084E-1
2.895686848E0,3.484651446E-2,2.389141917E-2,2.818861008E-1
2.905879719E0,2.939596772E-2,-1.005455852E-2,3.048229218E-1
2.916042073E0,-1.979672909E-2,8.720844984E-3,1.126184464E-1
2.926204426E0,-7.226938009E-2,7.063651085E-2,-2.874088287E-2
2.936366780E0,-1.058683097E-1,1.354947090E-1,-2.142333984E-2
2.946529133E0,-1.178514659E-1,1.690725386E-1,4.083633423E-2
2.956691487E0,-1.009948850E-1,1.578122675E-1,3.367519379E-2
2.966853840E0,-4.836654663E-2,1.206307411E-1,3.373718262E-2
2.977016194E0,-1.756724715E-2,9.337446094E-2,3.141880035E-2
2.987178547E0,1.173287630E-3,5.901598930E-2,2.432441711E-2
2.997340901E0,1.271829009E-2,9.807139635E-3,5.073547363E-4
3.007503254E0,-6.486713886E-3,3.117650747E-3,-3.757572174E-2
3.017665608E0,-3.794640303E-3,1.062378287E-2,-3.251075745E-2
3.027827961E0,-1.042386889E-2,2.782407403E-2,1.792240143E-2
3.037990315E0,2.066880465E-3,5.220252275E-2,5.146789551E-2
3.048152668E0,1.900830865E-2,5.737408996E-2,5.143451691E-2
3.058315022E0,1.406255364E-2,6.491416693E-2,4.423809052E-2
3.068507893E0,-5.458474159E-3,5.333334208E-2,3.705883026E-2
3.078670247E0,-2.225458622E-2,4.885229468E-2,3.469848633E-2
3.088832600E0,-3.618362546E-2,4.179784656E-2,5.383205414E-2
3.098994954E0,-3.763335943E-2,3.392753005E-2,-7.011890411E-2
3.109157307E0,-2.787375450E-2,5.250594020E-2,5.459880829E-2
3.119319661E0,-6.050390005E-2,8.676528931E-2,1.621494293E-1
3.129482014E0,-8.249545097E-2,8.671379089E-2,-3.448677063E-2
3.139644368E0,-3.991264105E-2,8.772382140E-2,-2.061414719E-1
3.149806721E0,2.089628577E-2,7.217803597E-2,-1.501817703E-1
3.159969075E0,2.805492282E-2,5.305349827E-2,3.225898743E-2
3.170131428E0,-7.848769426E-3,3.056573868E-2,2.452850342E-2
3.180293782E0,-2.688750625E-2,3.806072474E-2,-5.363845825E-2
3.190456135E0,-1.738059521E-2,6.219691038E-2,-1.460456848E-2
3.200618489E0,-3.137677908E-3,9.836435318E-2,7.332897186E-2
3.210780842E0,-1.505082846E-2,1.172494888E-1,9.819889069E-2
