"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.451548546E0,-2.207213640E-2,6.299873441E-2,9.183979034E-2
1.461710899E0,-4.746860266E-2,5.550025403E-2,6.197166443E-2
1.471873253E0,-5.084067583E-2,6.362266839E-2,2.794551849E-2
1.482035606E0,-1.651245356E-2,7.364262640E-2,2.286624908E-2
1.492228477E0,7.185578346E-3,7.472636551E-2,5.320453644E-2
1.502390831E0,4.648107290E-2,6.465388834E-2,5.695724487E-2
1.512522667E0,6.111818552E-2,6.473072618E-2,6.537628174E-2
1.522685020E0,5.417394638E-2,4.593672976E-2,1.115093231E-1
1.532847374E0,4.250764847E-2,5.042988434E-2,1.071710587E-1
1.543009727E0,2.907097340E-2,3.524313122E-2,5.566978455E-2
1.553172081E0,-1.896423101E-2,5.503535271E-3,-2.566242218E-2
1.563334435E0,-4.213660955E-2,-1.192156225E-2,-7.010459900E-2
1.573496788E0,-4.382467270E-2,-2.849678323E-2,-5.701160431E-2
1.583689659E0,-4.141199589E-2,-1.811777055E-2,5.374908447E-3
1.593852013E0,-1.576566696E-2,-9.983710945E-3,5.954837799E-2
1.604014366E0,-1.179152727E-2,-2.051278949E-3,5.136299133E-2
1.614176720E0,8.810639381E-3,5.588222295E-3,2.917575836E-2
1.624339073E0,5.866885185E-3,1.387912780E-3,1.921081543E-2
1.634501427E0,2.000451088E-2,6.705522537E-3,1.653766632E-2
1.644663780E0,8.148312569E-3,7.556065917E-3,1.395130157E-2
1.654826134E0,-1.529258490E-2,8.583851159E-3,-3.852844238E-4
1.664988487E0,-7.433474064E-3,1.236598939E-2,-2.155685425E-2
1.675150841E0,-4.623711109E-3,1.169684529E-2,-2.349948883E-2
1.685313194E0,-9.316027164E-3,6.552763283E-3,5.318641663E-3
1.695475548E0,4.890203476E-3,1.550977677E-2,3.834629059E-2
1.705637901E0,2.633929253E-4,1.445200294E-2,2.118968964E-2
1.715800255E0,7.514655590E-3,2.494141459E-2,9.144783020E-3
1.725962608E0,1.209717989E-2,4.190623760E-2,2.793788910E-2
1.736124962E0,9.012222290E-5,3.703743964E-2,2.513027191E-2
1.746287315E0,-1.961350441E-3,4.858436435E-2,2.950000763E-2
1.756449669E0,-1.501023769E-3,5.986730009E-2,2.909374237E-2
1.766612022E0,8.476018906E-3,4.480631649E-2,4.284477234E-2
1.776774376E0,9.104073048E-3,4.891126603E-2,2.567005157E-2
1.786936729E0,9.945869446E-3,3.888767958E-2,-6.427764893E-4
1.797099083E0,8.520781994E-3,3.891789913E-2,-3.832530975E-2
1.807261436E0,-9.114921093E-3,3.709015250E-2,-5.883502960E-2
1.817423790E0,-4.979550838E-3,3.165143728E-2,-5.523681641E-2
1.827586143E0,5.504965782E-3,2.207892388E-2,4.047012329E-2
1.837748497E0,1.471012831E-2,2.673406899E-2,1.319780350E-1
1.847910851E0,1.375430822E-2,2.802285552E-2,1.225624084E-1
1.858073204E0,-7.875978947E-3,4.244087636E-2,5.432224274E-2
1.868235558E0,-2.186393738E-2,5.368325114E-2,2.520084381E-2
1.878397911E0,-1.992809772E-2,3.607156873E-2,7.678413391E-2
1.888560265E0,-3.526300192E-2,2.542684972E-2,5.161380768E-2
1.898722618E0,-3.220742941E-2,3.667934239E-2,-2.189092636E-1
1.908884972E0,9.813904762E-3,1.721152663E-2,-3.800354004E-1
1.919047325E0,6.303822994E-2,6.115958095E-3,-3.682422638E-2
1.929209679E0,1.334089637E-1,-1.658663154E-3,3.555240631E-1
1.939372032E0,1.060662866E-1,-2.599352598E-2,1.529865265E-1
1.949534386E0,3.444135189E-3,-2.904243767E-2,5.589294434E-2
1.959696739E0,-6.036454439E-2,-4.871042073E-2,-7.288074493E-2
1.969859093E0,-7.162946463E-2,-4.000748694E-2,-1.661386490E-1
1.980021446E0,-4.487484694E-2,-2.073559165E-2,-1.796474457E-1
1.990183800E0,9.722709656E-4,-7.664173841E-3,-2.251052856E-2
2.000346153E0,4.816186428E-2,3.096571565E-2,2.334251404E-1
2.010508507E0,5.930787325E-2,7.853822410E-2,3.145847321E-1
2.020670860E0,3.318446875E-2,1.251284331E-1,1.392145157E-1
2.030833214E0,-1.126784086E-2,1.441124082E-1,-5.436229706E-2
2.040995567E0,-3.483158350E-2,1.457155198E-1,-1.477203369E-1
2.051157921E0,-3.379017115E-2,1.437774152E-1,-1.309232712E-1
2.061320274E0,-9.063303471E-3,1.220788956E-1,-5.312824249E-2
2.071482628E0,3.026151657E-2,8.929382265E-2,-5.123138428E-3
2.081644981E0,4.284006357E-2,5.067436397E-2,1.376914978E-2
2.091807335E0,4.149395227E-2,1.642966270E-2,4.667091370E-2
2.101969688E0,3.406596184E-2,-1.491841674E-2,1.073598862E-1
2.112132042E0,1.640462875E-2,-3.208577633E-2,1.292181015E-1
2.122294395E0,-1.149427891E-2,-3.014428914E-2,8.458328247E-2
2.132456749E0,-3.849565983E-2,-2.482314408E-2,3.836727142E-2
2.142619102E0,-2.997201681E-2,-3.157354891E-2,1.179695129E-2
2.152781456E0,-3.183740377E-2,-3.269711137E-2,4.487991333E-3
2.162943810E0,-2.288550138E-2,-3.520026803E-2,1.857948303E-2
2.173106163E0,-2.183878422E-2,-3.462095559E-2,3.000831604E-2
2.183268517E0,-1.825630665E-3,-3.161698580E-2,2.231979370E-2
2.193430870E0,2.780854702E-2,-2.188347280E-2,6.210613251E-2
2.203593224E0,4.766154289E-2,1.046492159E-2,-2.889633179E-3
2.213755577E0,4.334121943E-2,4.603575170E-2,1.108512878E-1
2.223917931E0,1.191818714E-2,6.328450143E-2,1.888751984E-1
2.234080284E0,8.531749249E-3,4.179635644E-2,-2.737998962E-2
2.244242638E0,2.393078804E-2,1.445175707E-2,-1.921319962E-1
2.254404991E0,4.087334871E-2,1.531405747E-2,-1.793127060E-1
2.264567345E0,4.474782944E-2,3.430694342E-2,-9.578895569E-2
2.274729698E0,3.182423115E-2,3.700266778E-2,5.094528198E-3
2.284892052E0,1.417708397E-2,3.915360570E-2,4.754066467E-2
2.295054405E0,-5.433499813E-3,4.447723925E-2,8.452415466E-2
2.305216759E0,-2.224147320E-2,5.979463458E-2,8.066272736E-2
2.315379112E0,-2.852660418E-2,9.234368801E-2,3.915023804E-2
2.325541466E0,1.258909702E-3,9.791466594E-2,2.199840546E-2
2.335703819E0,3.706496954E-2,1.082783788E-1,1.695632935E-2
2.345866173E0,5.740278959E-2,8.798186481E-2,2.367496490E-2
2.356028526E0,6.545275450E-2,6.363505125E-2,1.374340057E-2
2.366190880E0,4.244911671E-2,3.945831954E-2,4.655075073E-2
2.376353233E0,1.739728451E-2,1.279979944E-2,8.105850220E-2
2.386515587E0,-1.167821884E-2,1.639890671E-2,4.408264160E-2
2.396708458E0,-2.535802126E-2,7.648631930E-3,-2.052497864E-2
2.406870811E0,-3.145700693E-2,6.147414446E-3,-7.457065582E-2
2.417033165E0,-2.348351479E-2,-6.644472480E-3,-7.329177856E-2
2.427195518E0,-1.391166449E-2,-4.272684455E-3,-3.424739838E-2
2.437357872E0,-5.133569241E-3,-6.280794740E-3,1.824951172E-2
2.447520226E0,1.511216164E-2,-3.426581621E-3,2.011203766E-2
2.457682579E0,1.635038853E-2,-1.264017820E-2,3.133773804E-3
2.467844933E0,1.109421253E-2,-2.189475298E-2,-1.587486267E-2
2.478007286E0,6.505250931E-3,-7.270365953E-3,-1.798343658E-2
2.488169640E0,-1.193237305E-2,4.780888557E-3,-3.425598145E-3
2.498331993E0,-1.364821196E-2,-1.158836484E-2,5.975723267E-3
2.508494347E0,-2.953314781E-2,3.132745624E-3,-1.193046570E-3
2.518656700E0,-1.683896780E-2,5.765452981E-3,1.235961914E-3
2.528819054E0,7.548987865E-3,1.090483367E-2,8.320808411E-3
2.538981407E0,1.988077164E-2,2.303749323E-2,5.742073059E-3
2.549143761E0,3.691875935E-2,2.558574080E-2,-1.558876038E-2
2.559306114E0,3.245377541E-2,3.293962777E-2,-3.415584564E-2
2.569468468E0,3.295940161E-2,3.088194132E-2,-3.348636627E-2
2.579630821E0,2.178770304E-2,4.074765742E-2,-1.630687714E-2
2.589793175E0,6.202280521E-3,3.861835599E-2,-8.848190308E-3
2.599955528E0,-9.155869484E-3,4.085884988E-2,2.921390533E-2
2.610117882E0,-1.217782497E-3,4.493534565E-2,7.607173920E-2
2.620280235E0,-8.108019829E-3,5.069373548E-2,7.469844818E-2
2.630442589E0,-7.706880569E-3,6.074941158E-2,1.665878296E-2
2.640604942E0,-2.150732279E-2,7.547560334E-2,-2.141857147E-2
2.650767296E0,-9.658455849E-3,7.166878879E-2,7.275581360E-3
2.660929649E0,1.232683659E-3,7.062883675E-2,4.481697083E-2
2.671092003E0,-2.125036716E-2,6.003569067E-2,-3.434371948E-2
2.681254356E0,-1.485621929E-2,3.636448085E-2,-2.843694687E-1
2.691416710E0,1.855552197E-2,2.973337471E-2,-2.905788422E-1
2.701579063E0,9.646934271E-2,2.312117815E-2,1.475238800E-1
2.711741417E0,1.132370830E-1,3.208932281E-2,3.736267090E-1
2.721903770E0,1.428908110E-2,1.894704998E-2,1.779460907E-1
2.732066124E0,-8.135026693E-2,-1.332223415E-2,-4.698753357E-3
2.742228477E0,-1.007262468E-1,-3.683050722E-2,-1.395587921E-1
2.752390831E0,-7.369023561E-2,-4.926593602E-2,-2.247276306E-1
2.762553185E0,-1.259034872E-2,-3.521254659E-2,-2.042407990E-1
2.772715538E0,5.008733273E-2,-1.022577286E-2,-1.389598846E-2
2.782877892E0,9.027701616E-2,2.198055387E-3,2.038793564E-1
2.793040245E0,8.768862486E-2,5.918906629E-2,2.617855072E-1
2.803202599E0,3.692156076E-2,9.788423777E-2,1.345510483E-1
2.813364952E0,-4.087597132E-2,1.268151700E-1,1.039505005E-4
2.823527306E0,-7.776993513E-2,1.271135658E-1,-6.352519989E-2
2.833689659E0,-8.226275444E-2,1.224809214E-1,-9.075355530E-2
2.843852013E0,-4.115569592E-2,1.092016548E-1,-9.399604797E-2
2.854014366E0,1.190793514E-2,8.045180142E-2,-7.368564606E-2
2.864176720E0,5.369383097E-2,5.442471057E-2,-2.297401428E-2
2.874339073E0,6.405746937E-2,3.428953886E-2,3.871059418E-2
2.884501427E0,5.360001326E-2,4.181034863E-3,1.040925980E-1
2.894663780E0,3.717130423E-2,1.492146403E-2,1.495151520E-1
2.904826134E0,2.243930101E-2,1.352693141E-2,1.161947250E-1
2.914988487E0,1.137077808E-2,1.248390228E-2,6.466388702E-2
2.925150841E0,6.951689720E-4,3.352835774E-3,1.639461517E-2
2.935313194E0,-1.966333389E-2,-5.318209529E-3,-5.102157593E-3
2.945475548E0,-2.372646332E-2,-1.787939668E-2,-1.680660248E-2
2.955637901E0,-2.842772007E-2,-1.969601214E-2,-2.366733551E-2
2.965800255E0,-1.687908173E-2,-8.874677122E-3,1.930713654E-2
2.975962608E0,3.798663616E-3,6.731219590E-3,6.853103638E-2
2.986124962E0,3.400307894E-2,3.101918846E-2,-8.440971375E-3
2.996287315E0,2.602541447E-2,5.184866488E-2,5.577278137E-2
3.006449669E0,5.111098289E-4,8.578300476E-2,1.277561188E-1
3.016612022E0,-2.016484737E-3,7.412044704E-2,-4.955768585E-2
3.026774376E0,2.404391766E-3,3.354297206E-2,-2.234230042E-1
3.036936729E0,2.318084240E-2,4.344054312E-2,-2.098932266E-1
3.047099083E0,5.395644903E-2,6.019930914E-2,-9.049797058E-2
3.057261436E0,3.138846159E-2,6.356868893E-2,-2.530288696E-2
3.067423790E0,1.619130373E-2,5.272185057E-2,-1.132965088E-3
3.077586143E0,5.725204945E-3,3.858710825E-2,1.005458832E-1
3.087748497E0,-6.629228592E-3,3.708634526E-2,1.554775238E-1
3.097910851E0,-2.703982592E-2,3.365113586E-2,1.127157211E-1
3.108073204E0,-3.015947342E-2,4.315273464E-2,6.366443634E-2
3.118235558E0,6.544232368E-3,5.917546153E-2,4.139518738E-2
3.128397911E0,3.764086962E-2,7.279316336E-2,2.886772156E-2
3.138560265E0,4.879182577E-2,6.770631671E-2,3.077316284E-2
3.148722618E0,3.062552214E-2,5.592179298E-2,6.339454651E-2
3.158915489E0,2.183258533E-2,4.170100018E-2,8.819484711E-2
3.169047325E0,-7.622480392E-3,3.882108256E-2,4.639053345E-2
3.179240196E0,-9.679973125E-3,3.073543310E-2,-2.049160004E-2
3.189402550E0,5.468428135E-3,2.040220797E-2,-6.254577637E-2
3.199564903E0,1.090246439E-2,2.024010196E-2,-4.482460022E-2
3.209727257E0,-5.535602570E-3,2.066276595E-2,-1.810646057E-2
3.219859093E0,-1.030832529E-2,1.454043016E-2,-1.314830780E-2
3.230051964E0,-7.966518402E-3,1.365036517E-2,-3.898525238E-2
3.240214317E0,-2.478832006E-2,2.242651954E-2,-1.702880859E-2
3.250376671E0,-1.571732759E-2,1.919109747E-2,1.391792297E-2
3.260539024E0,-1.122951508E-2,1.139663905E-2,2.071285248E-2
3.270701378E0,-1.552999020E-3,5.956001580E-3,8.564949036E-3
3.280863731E0,1.088380814E-3,-1.814279705E-3,-5.731582642E-3
3.291026085E0,-9.433031082E-4,7.570162416E-5,-5.587577820E-3
3.301188438E0,1.139593124E-2,-2.832699567E-3,-1.016902924E-2
3.311350792E0,2.139687538E-2,1.079574972E-2,-9.903907776E-3
3.321513145E0,1.962834597E-2,2.683121711E-2,2.194404602E-3
3.331675499E0,3.555953503E-3,3.329494596E-2,2.584838867E-2
3.341837852E0,-5.269050598E-3,2.993054688E-2,2.781391144E-2
3.352000206E0,-6.662189960E-3,3.336060792E-2,3.448963165E-2
3.362162560E0,-5.612432957E-3,3.644579276E-2,4.104804993E-2
3.372324913E0,2.984464169E-3,4.878053814E-2,-9.182929993E-3
3.382487267E0,1.184576750E-2,5.399350077E-2,-5.616950989E-2
3.392649620E0,1.648068428E-3,4.780452326E-2,-7.629871368E-2
3.402811974E0,5.508005619E-3,3.069530241E-2,-3.938770294E-2
3.412974327E0,-6.420016289E-4,3.570728749E-2,2.289676666E-2
3.423136681E0,1.174592972E-2,3.348612785E-2,9.350967407E-2
3.433299034E0,6.949841976E-3,4.960177466E-2,1.273546219E-1
3.443461388E0,2.730906010E-3,6.444680691E-2,5.430030823E-2
3.453623741E0,-1.263886690E-2,6.920602173E-2,-3.164577484E-2
3.463786095E0,-2.082002163E-2,7.205847651E-2,-5.694007874E-2
3.473948448E0,-2.043789625E-2,5.670317635E-2,-2.280902863E-2
3.484110802E0,-2.809488773E-2,3.998184949E-2,-5.349254608E-2
3.494273155E0,-1.996225119E-2,2.726667374E-2,-2.677164078E-1
3.504435509E0,1.877826452E-2,5.288431421E-3,-2.412843704E-1
3.514597862E0,7.425123453E-2,1.868934557E-2,2.195816040E-1
3.524760216E0,1.317591667E-1,2.823556773E-2,3.875465393E-1
3.534922569E0,7.330763340E-2,2.985138074E-2,2.131643295E-1
3.545084923E0,-4.266703129E-2,9.481891990E-3,2.722930908E-2
3.555247276E0,-8.111095428E-2,-1.148748212E-2,-2.167711258E-1
3.565409630E0,-5.111086369E-2,-4.251711071E-3,-3.075628281E-1
3.575571983E0,-7.101714611E-3,-1.035388559E-2,-2.643651962E-1
3.585734337E0,4.296612740E-2,-6.432231516E-3,-3.987979889E-2
3.595896690E0,6.556636095E-2,1.887638122E-2,2.089309692E-1
3.606059044E0,4.256588221E-2,4.345322400E-2,3.092317581E-1
3.616221397E0,-1.459872723E-2,7.319057733E-2,2.449016571E-1
3.626383751E0,-6.001490355E-2,9.406088293E-2,1.156253815E-1
3.636546104E0,-6.850665808E-2,1.107417792E-1,-4.365921021E-3
3.646708458E0,-3.950804472E-2,1.210262552E-1,-9.870815277E-2
3.656870811E0,-4.524588585E-4,1.222568527E-1,-1.536912918E-1
3.667033165E0,4.142636061E-2,9.900873899E-2,-1.488170624E-1
3.677195518E0,6.738030910E-2,6.061435491E-2,-9.206199646E-2
3.687388390E0,6.643551588E-2,4.364433885E-2,8.611679077E-3
3.697550743E0,4.922896624E-2,2.685143426E-2,8.633995056E-2
3.707713097E0,2.618038654E-2,1.363746077E-2,9.183502197E-2
3.717875450E0,2.362966537E-3,1.990173757E-2,6.199645996E-2
3.728037804E0,-1.562339067E-2,1.050535589E-3,2.562236786E-2
3.738169640E0,-4.523348808E-2,-1.326891780E-2,1.109981537E-2
3.748362511E0,-7.268899679E-2,-2.705774084E-2,1.100444794E-2
3.758524864E0,-6.030017138E-2,-2.345398068E-2,1.317405701E-2
3.768687218E0,-4.160720110E-2,-2.398086339E-2,4.125595093E-2
3.778849571E0,-2.103823423E-2,-1.222904772E-2,7.125473022E-2
3.789011925E0,6.567716599E-3,1.323729753E-3,1.030817032E-1
3.799174278E0,3.677511215E-2,1.830389351E-2,3.968334198E-2
3.809336632E0,5.772900581E-2,4.347606748E-2,6.257057190E-3
3.819498985E0,2.786207199E-2,6.036636233E-2,1.503105164E-1
3.829661339E0,2.700781822E-2,5.500845611E-2,5.046463013E-2
3.839823692E0,3.124630451E-2,3.398718685E-2,-2.196636200E-1
3.849986046E0,4.312241077E-2,2.243757993E-2,-2.390375137E-1
3.860148399E0,5.745106936E-2,2.725642174E-2,-1.072759628E-1
3.870310753E0,3.264760971E-2,3.533159196E-2,-3.456974030E-2
3.880473106E0,1.026517153E-2,3.600700200E-2,2.747917175E-2
3.890635460E0,-1.698046923E-2,4.958690703E-2,8.375072479E-2
3.900797813E0,-2.914965153E-2,5.418337882E-2,8.703327179E-2
